Device_Index,State_Index,Module_Path,Data_Type,Register_Name,Verilog_Type,Description
1,0+,jt51.u_timers,module_instance,jt51_timers,module,Instance of jt51_timers
2,0,jt51_timer,packed_registers,"last_load, flag, free_cnt","reg, reg, reg[4-1:0]","Packed registers: last_load, flag, free_cnt"
2,1,jt51_timer,packed_registers,cnt,reg[CW-1:0],Packed registers: cnt
2,0+,jt51_timers.timer_A,module_instance,jt51_timer,module,Instance of jt51_timer
3,0,jt51_timer,packed_registers,"last_load, flag, free_cnt","reg, reg, reg[4-1:0]","Packed registers: last_load, flag, free_cnt"
3,1,jt51_timer,packed_registers,cnt,reg[CW-1:0],Packed registers: cnt
3,0+,jt51_timers.timer_B,module_instance,jt51_timer,module,Instance of jt51_timer
4,0,jt51_lfo,packed_registers,"val, out2","reg[16-1:0], reg[16-1:0]","Packed registers: val, out2"
4,1,jt51_lfo,packed_registers,"pm, am, cnt2","reg[8-1:0], reg[8-1:0], reg[15-1:0]","Packed registers: pm, am, cnt2"
4,2,jt51_lfo,packed_registers,"saw_sign, integ_c, lfo_clk_latch, lfo_clk, cnt3_step, cnt3_clk, cnt2_load, bitcnt_rst, lfo_up_latch, cnt2_ov, cnt1_ov, cnt3, cnt1, bitcnt, out1","reg, reg, reg, reg, reg, reg, reg, reg, reg, reg[2-1:0], reg[2-1:0], reg[4-1:0], reg[4-1:0], reg[4-1:0], reg[7-1:0]","Packed registers: saw_sign, integ_c, lfo_clk_latch, lfo_clk, cnt3_step, cnt3_clk, cnt2_load, bitcnt_rst, lfo_up_latch, cnt2_ov, cnt1_ov, cnt3, cnt1, bitcnt, out1"
4,3,jt51_lfo,packed_registers,"val_c, trig_sign","reg, reg","Packed registers: val_c, trig_sign"
4,0+,jt51.u_lfo,module_instance,jt51_lfo,module,Instance of jt51_lfo
5,0,jt51_pg,packed_registers,phase_base_VI,reg[20-1:0],Packed registers: phase_base_VI
5,1,jt51_pg,packed_registers,phase_step_VII,reg[20-1:0],Packed registers: phase_step_VII
5,2,jt51_pg,packed_registers,ph_VIII,reg[20-1:0],Packed registers: ph_VIII
5,3,jt51_pg,packed_registers,ph_IX,reg[20-1:0],Packed registers: ph_IX
5,4,jt51_pg,packed_registers,ph_X,reg[20-1:0],Packed registers: ph_X
5,5,jt51_pg,packed_registers,phase_base_IV,reg[18-1:0],Packed registers: phase_base_IV
5,6,jt51_pg,packed_registers,"keycode_II, phase_base_V","reg[14-1:0], reg[18-1:0]","Packed registers: keycode_II, phase_base_V"
5,7,jt51_pg,packed_registers,"octave_III, dt1_offset_V, keycode_III, dt1_kf_III, phinc_addr_III","reg[4-1:0], reg[5-1:0], reg[5-1:0], reg[6-1:0], reg[10-1:0]","Packed registers: octave_III, dt1_offset_V, keycode_III, dt1_kf_III, phinc_addr_III"
5,8,jt51_pg,packed_registers,"dt1_V, pow2ind_IV, dt1_kf_IV, dt1_IV, dt1_III","reg[3-1:0], reg[3-1:0], reg[3-1:0], reg[3-1:0], reg[3-1:0]","Packed registers: dt1_V, pow2ind_IV, dt1_kf_IV, dt1_IV, dt1_III"
5,0+,jt51.u_pg,module_instance,jt51_pg,module,Instance of jt51_pg
6,0:start+width-1,jt51_sh,array,bits,reg[stages-1:0][width-1:0],Array with width elements
6,0+,jt51_pg.u_phsh,module_instance,jt51_sh,module,Instance of jt51_sh
7,0:start+width-1,jt51_sh,array,bits,reg[stages-1:0][width-1:0],Array with width elements
7,0+,jt51_pg.u_pgrstsh,module_instance,jt51_sh,module,Instance of jt51_sh
8,0,jt51_eg,packed_registers,"eg_VII, eg_cnt","reg[10-1:0], reg[15-1:0]","Packed registers: eg_VII, eg_cnt"
